catalogNumber,replicate number,genus,subgenus,scientificName,determinedBy,dateDetermined,sex,checked,Country,State,collection site,site,decimalLat,decimalLong,associated Plant,collection_date_label,collection date,collection time,ambient air temperature (C),aclimation time (mins),relative humidity (%),TBS (mins),mean TBS,Censor,mass (g),ITD 1 (mm),ITD 2 (mm),ITD avg (mm),dry mass+pin (g),pin ,dry mass (g),length,width,notes,observation
UCSB-IZC00064344,NB44,Agapostemon,,Agapostemon texanus,Katja Seltmann (2025),,male,KS,United States,California,"Santa Cruz Island, Christy Beach",island,34.02343,-119.87634,beach rocket,2024 Jun 23,6/23/24,12:50,25,,,37,54.15384615,1,0.017,1.9,1.9,1.9,0.055,0.057,0.055,,,,
UCSB-IZC00064390,NB46,Agapostemon,,Agapostemon texanus,Katja Seltmann (2025),,female,KS,United States,California,"Santa Cruz Island, Christy Beach",island,34.02343,-119.87634,,2024 Jun 23,6/23/24,,25,,,126,15,1,0.022,1.9,1.9,1.9,0.059,0.049,0.059,,,,
UCSB-IZC00064394,NB47,Agapostemon,,Agapostemon texanus,Katja Seltmann (2025),,male,KS,United States,California,"Santa Cruz Island, Christy Beach",island,34.02343,-119.87634,,2024 Jun 23,6/23/24,,25,,,24,,1,0.009,1.65,1.65,1.65,0.053,0.049,0.053,,,,
UCSB-IZC00064502,NB54,Agapostemon,,Agapostemon texanus,Katja Seltmann (2025),,male,KS,United States,California,"Santa Cruz Island, Christy Beach",island,34.02197,-119.87569,,2024 Jun 23,6/23/24,,25,,,63,,1,0.011,1.75,1.75,1.75,0.056,0.049,0.056,,,,
UCSB-IZC00064564,NB14,Agapostemon,,Agapostemon subtilior,Katja Seltmann (2025),,male,KS,United States,California,Santa Cruz Island,island,34.01882,-119.699125,,2024 Jun 12,06/12/24,3:19,24,,,NA,,1,NA,1.75,1.7,1.725,0.055,,#REF!,,,flying,
UCSB-IZC00064585,NB58,Agapostemon,,Agapostemon texanus,Katja Seltmann (2025),,female,KS,United States,California,Santa Cruz Island,island,33.98911,-119.675484,Malacothrix saxatilis,2024 Jun 24,6/24/24,,26,,,109,,1,0.039,2.2,2.25,2.225,0.063,,#REF!,,,,
UCSB-IZC00064593,NB13,Agapostemon,,Agapostemon texanus,Katja Seltmann (2025),,male,KS,United States,California,Santa Cruz Island,island,34.01882,-119.699125,,2024 Jun 12,06/12/24,3:19,24,,,NA,,1,NA,1.8,1.8,1.8,0.055,,#REF!,,,flying,
UCSB-IZC00064665,NB45,Agapostemon,,Agapostemon texanus,Katja Seltmann (2025),,male,KS,United States,California,"Santa Cruz Island, Christy Beach",island,34.02343,-119.87634,,2024 Jun 23,6/23/24,1:03,25,,,126,,1,0.019,1.9,1.9,1.9,0.056,,#REF!,,,,
UCSB-IZC00064677,NB55,Agapostemon,,Agapostemon texanus,Katja Seltmann (2025),,male,KS,United States,California,"Santa Cruz Island, Christy Beach",island,34.02197,-119.87569,,2024 Jun 23,6/23/24,,25,,,63,,1,0.019,2.0,2.0,2.0,0.056,,#REF!,,,,
UCSB-IZC00064903,NB43,Agapostemon,,Agapostemon texanus,Katja Seltmann (2025),,male,KS,United States,California,"Santa Cruz Island, Christy Beach",island,34.02223,-119.87641,,2024 Jun 22,6/22/24,12:33,19,0,,26,,1,0.014,1.8,1.8,1.8,0.054,,#REF!,,,,
UCSB-IZC00064909,NB41,Agapostemon,,Agapostemon texanus,Katja Seltmann (2025),,male,KS,United States,California,"Santa Cruz Island, Christy Beach",island,34.02223,-119.87641,,2024 Jun 22,6/22/24,12:10,19,23,,30,,1,0.022,1.9,1.95,1.925,0.056,,#REF!,,,,
UCSB-IZC00064911,NB39,Agapostemon,,Agapostemon texanus,Katja Seltmann (2025),,female,KS,United States,California,"Santa Cruz Island, Christy Beach",island,34.02223,-119.87641,,2024 Jun 22,6/22/24,12:00,19,33,,26,,1,0.025,1.85,1.9,1.875,0.059,,#REF!,,,,
UCSB-IZC00064918,NB31,Agapostemon,,Agapostemon texanus,Katja Seltmann (2025),,female,KS,United States,California,"Santa Cruz Island, Christy Beach",island,34.02223,-119.87641,ice plant ,2024 Jun 22,6/22/24,11:41,19,52,,24,,1,0.025,2.15,2.1,2.125,0.061,,#REF!,,,,
UCSB-IZC00064919,NB30,Agapostemon,,Agapostemon texanus,Katja Seltmann (2025),,male,KS,United States,California,"Santa Cruz Island, Christy Beach",island,34.02223,-119.87641,ice plant,2024 Jun 22,6/22/24,11:37,19,57,,26,,1,0.019,1.95,1.95,1.95,0.056,,#REF!,,,,
UCSB-IZC00064920,NB34,Agapostemon,,Agapostemon texanus,Katja Seltmann (2025),,female,KS,United States,California,"Santa Cruz Island, Christy Beach",island,34.02223,-119.87641,,2024 Jun 22,6/22/24,11:45,19,48,,24,,1,0.028,2.0,2.0,2.0,0.061,,#REF!,,,,
UCSB-IZC00064525,WW-6667,Apis,,Apis mellifera,Katja Seltmann (2025),,female,KS,United States,California,Campus Point,mainland,34.41,-119.848,,2024 Apr 27,04/27/24,11:56,23.7,37,57.3,32,102.6,1,0.068,2.6,2.85,2.725,0.068,,0.068,,,,
UCSB-IZC00064547,M:17,Apis,,Apis mellifera,Katja Seltmann (2025),,female,KS,United States,California,Coal Oil Point,mainland,34.41,-119.877,,2024 Apr 25,04/25/24,2:30,21.1,90,60.7,373,10,1,0.083,2.7,2.65,2.675,0.07,,0.07,,,,
UCSB-IZC00064563,20,Apis,,Apis mellifera,Katja Seltmann (2025),,female,KS,United States,California,Coal Oil Point,mainland,34.41,-119.877,,2024 Apr 25,04/25/24,2:30,21.1,90,60.7,63,,1,0.078,2.8,2.8,2.8,0.072,,0.023,,,,
UCSB-IZC00064565,NB8,Apis,,Apis mellifera,Katja Seltmann (2025),,female,KS,United States,California,UCSB community garden,mainland,34.42,-119.858,,2024 Apr 08,04/08/24,11:30,22.3,62,36.2,107,,1,0.078,2.7,2.7,2.7,0.07,,0.021,,,,
UCSB-IZC00064571,NB9,Apis,,Apis mellifera,Katja Seltmann (2025),,female,KS,United States,California,UCSB community garden,mainland,34.42,-119.858,,2024 Apr 08,04/08/24,11:50,26.2,62,36.2,107,,1,0.067,2.7,2.6,2.65,0.068,,#REF!,,,,
UCSB-IZC00064584,C:3,Apis,,Apis mellifera,Katja Seltmann (2025),,female,KS,United States,California,UCSB community garden,mainland,34.42,-119.858,,2024 Apr 15,04/15/24,10:50,17.2,15,46.4,20,,1,0.072,2.8,2.65,2.725,0.072,,#REF!,,,all aclimated at 21 d C for 15,
UCSB-IZC00064597,27,Apis,,Apis mellifera,Katja Seltmann (2025),,female,KS,United States,California,Campus Point,mainland,34.41,-119.848,,2024 Apr 27,04/27/24,11:50,22.7,43,57.3,143,,1,0.054,2.55,2.6,2.575,0.067,,#REF!,,,,
UCSB-IZC00064615,15,Apis,,Apis mellifera,Katja Seltmann (2025),,female,KS,United States,California,Coal Oil Point,mainland,34.41,-119.877,,2024 Apr 25,04/25/24,2:30,21.1,90,60.7,63,,1,0.092,2.7,2.7,2.7,0.076,,#REF!,,,,
UCSB-IZC00064616,BBB-76,Apis,,Apis mellifera,Katja Seltmann (2025),,female,KS,United States,California,Coal Oil Point,mainland,34.41,-119.877,,2024 Apr 25,04/25/24,2:30,21.1,90,60.7,63,,1,0.079,2.8,2.8,2.8,0.073,,#REF!,,,,
UCSB-IZC00064580,"I:9,10",Apis,,Apis mellifera,Katja Seltmann (2025),,female,KS,United States,California,UCSB community garden,mainland,34.42,-119.858,,2024 Apr 15,04/15/24,11:02,20,15,46.4,55,,1,0.058,2.6,2.6,2.6,0.068,,#REF!,,,,
